+--------+----------------------------------------+------------------------------------------------------------------------------------+---------------------------------------------+-----------------------------------------------------------------------------------------------------+-------------------------------------------------------------------+
| Domain | Method                                 | URI                                                                                | Name                                        | Action                                                                                              | Middleware                                                        |
+--------+----------------------------------------+------------------------------------------------------------------------------------+---------------------------------------------+-----------------------------------------------------------------------------------------------------+-------------------------------------------------------------------+
|        | GET|HEAD                               | /                                                                                  |                                             | Closure                                                                                             | web                                                               |
|        | GET|HEAD                               | _debugbar/assets/javascript                                                        | debugbar.assets.js                          | Barryvdh\Debugbar\Controllers\AssetController@js                                                    | Barryvdh\Debugbar\Middleware\DebugbarEnabled                      |
|        |                                        |                                                                                    |                                             |                                                                                                     | Closure                                                           |
|        | GET|HEAD                               | _debugbar/assets/stylesheets                                                       | debugbar.assets.css                         | Barryvdh\Debugbar\Controllers\AssetController@css                                                   | Barryvdh\Debugbar\Middleware\DebugbarEnabled                      |
|        |                                        |                                                                                    |                                             |                                                                                                     | Closure                                                           |
|        | DELETE                                 | _debugbar/cache/{key}/{tags?}                                                      | debugbar.cache.delete                       | Barryvdh\Debugbar\Controllers\CacheController@delete                                                | Barryvdh\Debugbar\Middleware\DebugbarEnabled                      |
|        |                                        |                                                                                    |                                             |                                                                                                     | Closure                                                           |
|        | GET|HEAD                               | _debugbar/clockwork/{id}                                                           | debugbar.clockwork                          | Barryvdh\Debugbar\Controllers\OpenHandlerController@clockwork                                       | Barryvdh\Debugbar\Middleware\DebugbarEnabled                      |
|        |                                        |                                                                                    |                                             |                                                                                                     | Closure                                                           |
|        | GET|HEAD                               | _debugbar/open                                                                     | debugbar.openhandler                        | Barryvdh\Debugbar\Controllers\OpenHandlerController@handle                                          | Barryvdh\Debugbar\Middleware\DebugbarEnabled                      |
|        |                                        |                                                                                    |                                             |                                                                                                     | Closure                                                           |
|        | GET|HEAD                               | _debugbar/telescope/{id}                                                           | debugbar.telescope                          | Barryvdh\Debugbar\Controllers\TelescopeController@show                                              | Barryvdh\Debugbar\Middleware\DebugbarEnabled                      |
|        |                                        |                                                                                    |                                             |                                                                                                     | Closure                                                           |
|        | GET|HEAD                               | api/documentation                                                                  | l5-swagger.default.api                      | L5Swagger\Http\Controllers\SwaggerController@api                                                    | L5Swagger\Http\Middleware\Config                                  |
|        | GET|HEAD                               | api/oauth2-callback                                                                | l5-swagger.default.oauth2_callback          | L5Swagger\Http\Controllers\SwaggerController@oauth2Callback                                         | L5Swagger\Http\Middleware\Config                                  |
|        | POST                                   | api/v1/auth/after-verify                                                           |                                             | App\Http\Controllers\API\v1\Auth\VerifyAuthController@afterVerifyEmail                              | api                                                               |
|        |                                        |                                                                                    |                                             |                                                                                                     | App\Http\Middleware\BlockIpMiddleware                             |
|        |                                        |                                                                                    |                                             |                                                                                                     | sessions                                                          |
|        | POST                                   | api/v1/auth/check/phone                                                            |                                             | App\Http\Controllers\API\v1\Auth\LoginController@checkPhone                                         | api                                                               |
|        |                                        |                                                                                    |                                             |                                                                                                     | App\Http\Middleware\BlockIpMiddleware                             |
|        |                                        |                                                                                    |                                             |                                                                                                     | sessions                                                          |
|        | POST                                   | api/v1/auth/forgot/email-password                                                  |                                             | App\Http\Controllers\API\v1\Auth\LoginController@forgetPasswordEmail                                | api                                                               |
|        |                                        |                                                                                    |                                             |                                                                                                     | App\Http\Middleware\BlockIpMiddleware                             |
|        |                                        |                                                                                    |                                             |                                                                                                     | sessions                                                          |
|        | POST                                   | api/v1/auth/forgot/email-password/{hash}                                           |                                             | App\Http\Controllers\API\v1\Auth\LoginController@forgetPasswordVerifyEmail                          | api                                                               |
|        |                                        |                                                                                    |                                             |                                                                                                     | App\Http\Middleware\BlockIpMiddleware                             |
|        |                                        |                                                                                    |                                             |                                                                                                     | sessions                                                          |
